"District ID","Type","District Name","District Sort Order"
128,"H","ELEVENTH MIDDLESEX DISTRICT",710
129,"H","TWELFTH MIDDLESEX DISTRICT",720
130,"H","THIRTEENTH MIDDLESEX DISTRICT",730
131,"H","FOURTEENTH MIDDLESEX DISTRICT",740
132,"H","FIFTEENTH MIDDLESEX DISTRICT",750
133,"H","SIXTEENTH MIDDLESEX DISTRICT",760
134,"H","SEVENTEENTH MIDDLESEX DISTRICT",770
135,"H","EIGHTEENTH MIDDLESEX DISTRICT",780
136,"H","NINETEENTH MIDDLESEX DISTRICT",790
137,"H","TWENTIETH MIDDLESEX DISTRICT",800
138,"H","TWENTY-FIRST MIDDLESEX DISTRICT",810
139,"H","TWENTY-SECOND MIDDLESEX DISTRICT",820
140,"H","TWENTY-THIRD MIDDLESEX DISTRICT",830
141,"H","TWENTY-FOURTH MIDDLESEX DISTRICT",840
142,"H","TWENTY-FIFTH MIDDLESEX DISTRICT",850
143,"H","TWENTY-SIXTH MIDDLESEX DISTRICT",860
144,"H","TWENTY-SEVENTH MIDDLESEX DISTRICT",870
145,"H","TWENTY-EIGHTH MIDDLESEX DISTRICT",880
146,"H","TWENTY-NINTH MIDDLESEX DISTRICT",890
147,"H","THIRTIETH MIDDLESEX DISTRICT",900
148,"H","THIRTY-FIRST MIDDLESEX DISTRICT",910
149,"H","THIRTY-SECOND MIDDLESEX DISTRICT",920
150,"H","THIRTY-THIRD MIDDLESEX DISTRICT",930
151,"H","THIRTY-FOURTH MIDDLESEX DISTRICT",940
152,"H","THIRTY-FIFTH MIDDLESEX DISTRICT",950
153,"H","THIRTY-SIXTH MIDDLESEX DISTRICT",960
154,"H","THIRTY-SEVENTH MIDDLESEX DISTRICT",970
157,"H","FIRST NORFOLK DISTRICT",1000
158,"H","SECOND NORFOLK DISTRICT",1010
159,"H","THIRD NORFOLK DISTRICT",1020
160,"H","FOURTH NORFOLK DISTRICT",1030
161,"H","FIFTH NORFOLK DISTRICT",1040
162,"H","SIXTH NORFOLK DISTRICT",1050
163,"H","SEVENTH NORFOLK DISTRICT",1065
164,"H","EIGHTH NORFOLK DISTRICT",1070
165,"H","NINTH NORFOLK DISTRICT",1080
166,"H","TENTH NORFOLK DISTRICT",1090
167,"H","ELEVENTH NORFOLK DISTRICT",1100
168,"H","TWELFTH NORFOLK DISTRICT",1110
169,"H","THIRTEENTH NORFOLK DISTRICT",1120
170,"H","FOURTEENTH NORFOLK DISTRICT",1130
171,"H","FIFTEENTH NORFOLK DISTRICT",1140
172,"H","FIRST PLYMOUTH DISTRICT",1150
173,"H","SECOND PLYMOUTH DISTRICT",1160
174,"H","THIRD PLYMOUTH DISTRICT",1170
175,"H","FOURTH PLYMOUTH DISTRICT",1180
176,"H","FIFTH PLYMOUTH DISTRICT",1190
177,"H","SIXTH PLYMOUTH DISTRICT",1200
178,"H","SEVENTH PLYMOUTH DISTRICT",1210
179,"H","EIGHTH PLYMOUTH DISTRICT",1220
180,"H","NINTH PLYMOUTH DISTRICT",1230
181,"H","TENTH PLYMOUTH DISTRICT",1240
182,"H","ELEVENTH PLYMOUTH DISTRICT",1250
183,"H","TWELFTH PLYMOUTH DISTRICT",1260
184,"H","FIRST SUFFOLK DISTRICT",1275
185,"H","SECOND SUFFOLK DISTRICT",1280
186,"H","THIRD SUFFOLK DISTRICT",1295
187,"H","FOURTH SUFFOLK DISTRICT",1305
188,"H","FIFTH SUFFOLK DISTRICT",1315
189,"H","SIXTH SUFFOLK DISTRICT",1325
190,"H","SEVENTH SUFFOLK DISTRICT",1335
191,"H","EIGHTH SUFFOLK DISTRICT",1340
192,"H","NINTH SUFFOLK DISTRICT",1350
193,"H","TENTH SUFFOLK DISTRICT",1365
194,"H","ELEVENTH SUFFOLK DISTRICT",1375
195,"H","TWELFTH SUFFOLK DISTRICT",1385
196,"H","THIRTEENTH SUFFOLK DISTRICT",1395
197,"H","FOURTEENTH SUFFOLK DISTRICT",1405
198,"H","FIFTEENTH SUFFOLK DISTRICT",1415
199,"H","SIXTEENTH SUFFOLK DISTRICT",1420
200,"H","SEVENTEENTH SUFFOLK DISTRICT",1430
201,"H","EIGHTEENTH SUFFOLK DISTRICT",1440
202,"H","NINETEENTH SUFFOLK DISTRICT",1450
203,"H","FIRST WORCESTER DISTRICT",1460
204,"H","SECOND WORCESTER DISTRICT",1470
205,"H","THIRD WORCESTER DISTRICT",1480
206,"H","FOURTH WORCESTER DISTRICT",1490
207,"H","FIFTH WORCESTER DISTRICT",1500
208,"H","SIXTH WORCESTER DISTRICT",1510
209,"H","SEVENTH WORCESTER DISTRICT",1520
210,"H","EIGHTH WORCESTER DISTRICT",1530
211,"H","NINTH WORCESTER DISTRICT",1540
212,"H","TENTH WORCESTER DISTRICT",1550
213,"H","ELEVENTH WORCESTER DISTRICT",1560
214,"H","TWELFTH WORCESTER DISTRICT",1570
215,"H","THIRTEENTH WORCESTER DISTRICT",1580
216,"H","FOURTEENTH WORCESTER DISTRICT",1590
217,"H","FIFTEENTH WORCESTER DISTRICT",1600
218,"H","SIXTEENTH WORCESTER DISTRICT",1610
219,"H","SEVENTEENTH WORCESTER DISTRICT",1620
155,"H","EIGHTEENTH WORCESTER DISTRICT",1630
